Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PT,h_Thalamus_O,THA,293.0,0.62,0.62,0.05,0.58,0.68,0.56,0.7,11,0.038,61.14,81.61,33.88,60.36,82.58,35.77
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,SPA,h_Thalamus_E,THA,224.0,0.69,0.66,0.12,0.61,0.67,0.58,0.92,5,0.022,61.55,90.46,31.51,62.73,89.87,29.98
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,IMD,h_Thalamus_L,THA,83.0,0.67,0.67,0.03,0.65,0.69,0.63,0.71,4,0.048,60.86,85.96,34.23,61.77,83.5,37.75
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,CM,h_Thalamus_R,THA,164.0,0.71,0.67,0.15,0.6,0.78,0.55,1.04,18,0.11,61.45,80.51,30.54,59.16,77.91,31.12
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MH,h_Thalamus_U,THA,204.0,1.01,1.01,0.28,0.78,1.19,0.57,1.58,99,0.485,61.25,87.96,45.93,57.43,87.69,45.82
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PF,h_Thalamus_T,THA,573.0,0.62,0.6,0.06,0.57,0.65,0.56,0.78,10,0.017,60.89,91.72,40.25,54.16,90.95,44.54
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,CEA,d_Amygdala_C,AMY,1604.0,0.83,0.77,0.24,0.65,0.97,0.55,1.96,657,0.41,60.2,81.12,23.99,49.81,82.64,24.74
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,AAA,d_Amygdala_A,AMY,674.0,0.71,0.67,0.15,0.59,0.81,0.56,1.16,28,0.042,58.11,73.19,15.57,52.3,74.82,18.25
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MEA,d_Amygdala_B,AMY,1204.0,0.76,0.69,0.21,0.61,0.87,0.55,1.76,264,0.219,63.08,83.64,18.0,62.59,86.62,20.84
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PAG,j_Midbrain_J,MB,4068.0,0.68,0.63,0.12,0.59,0.72,0.55,1.25,216,0.053,62.9,108.6,45.75,61.94,107.65,44.82
